Année;Numéro;Département;"Code INSEE";"Nom de la commune";"Date de première alerte";"Surface parcourue (m2)";"Surface forêt (m2)";"Surface maquis garrigues (m2)";"Autres surfaces naturelles hors forêt (m2)";"Surfaces agricoles (m2)";"Autres surfaces (m2)";"Surface autres terres boisées (m2)";"Surfaces non boisées naturelles (m2)";"Surfaces non boisées artificialisées (m2)";"Surfaces non boisées (m2)";"Précision des surfaces";"Surface de feu à l'arrivée des secours > 0,1 ha";"Type de peuplement";"Connaissance de la cause";Nature;"Intervention de l'équipe RCCI";"Décès ou bâtiments touchés";"Nombre de décès";"Nombre de bâtiments totalement détruits";"Nombre de bâtiments partiellement détruits";"Hygrométrie (%)";"Vitesse moyenne du vent (Km/h)";"Direction du vent";"Température (°C)";"Précision de la donnée"
2022;14852;"48";"48055";"Cultures";"2022-01-29 14:11:00";100;;100;;;;;;;;;"Non";"1";"Certaine";"Involontaire (travaux)";"Non";;;;;;;;;""
2022;20453;"06";"06140";"Le Tignet";"2022-01-29 14:21:00";400;;;;;;;;;;;"Non";;"Inconnue";;;;;;;;;;;""
2022;14853;"48";"48151";"Saint-Frézal-d'Albuges";"2022-01-29 15:22:00";30000;;30000;;;;;;;;;"Oui";"1";"Certaine";"Involontaire (particulier)";"Non";;;;;;;;;""
2022;22;"15";"15162";"Riom-ès-Montagnes";"2022-01-29 15:22:00";1000;0;;1000;;;1000;0;0;0;"Estimées";;;;"Involontaire (travaux)";;;;;;;;;;""
2022;19503;"13";"13021";"Carry-le-Rouet";"2022-01-29 15:27:00";5;5;;;;;;;;;;"Non";"1";"Inconnue";;"Non";;;;;;;;;""
2022;13814;"2A";"2A017";"Appietto";"2022-01-29 15:35:00";50;;50;;;;;;;;;;;"Certaine";"Involontaire (particulier)";"Non";;;;;;;;;""
2022;19798;"26";"26367";"Venterol";"2022-01-29 16:49:00";1100;1000;;;;;;;;100;;;"5";"Inconnue";;"Non";;;;;;;;;""
2022;14854;"48";"48151";"Saint-Frézal-d'Albuges";"2022-01-29 17:00:00";20000;;20000;;;;;;;;;"Oui";"1";"Certaine";"Involontaire (travaux)";"Non";;;;;;;;;""
2022;15210;"07";"07307";"Sanilhac";"2022-01-29 18:16:00";10000;;;;;;;;;;;"Oui";"3";"Probable";"Involontaire (particulier)";;;;;;;20;"N";7;""
2022;15949;"11";"11262";"Narbonne";"2022-01-30 06:36:00";16300;;;;;;;;;;;;;"Probable";"Malveillance";"Oui";;;;;;;;;""
2022;19458;"13";"13005";"Aubagne";"2022-01-30 11:48:00";50;50;;;;;;;;;;"Non";"1";"Certaine";"Involontaire (particulier)";"Non";;;;;;;;;""
2022;14648;"06";"06062";"Fontan";"2022-01-30 12:00:00";46000;6000;40000;;;;;;;;;"Oui";"1";"Inconnue";;"Non";;;;;;;;;""
2022;18362;"84";"84003";"Apt";"2022-01-30 12:16:00";100;100;;;;;;;;;;;;;;;;;;;;;;;""
2022;14725;"06";"06003";"Andon";"2022-01-30 12:50:00";850;250;600;;;;;;;;;"Non";"1";"Certaine";"Involontaire (particulier)";;;;;;;;;;""
2022;15950;"11";"11251";"Val-de-Dagne";"2022-01-30 13:22:00";8900;;;;;;;;;;;;;"Probable";"Malveillance";"Oui";;;;;;;;;""
